Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,130.5,-76.45,90.0,top
C2,10uF,C_0805_2012Metric,130.5,-83.45,90.0,top
D1,Red,LED_0805_2012Metric,108.75,-85.0,0.0,top
D2,Green,LED_0805_2012Metric,108.75,-91.0,0.0,top
J1,Conn_02x08_Odd_Even,PinHeader_2x08_P2.54mm_Vertical,95.275,-77.755,0.0,top
J2,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,129.0,-91.05,0.0,top
R1,1.2k,R_0805_2012Metric,108.5875,-65.5,0.0,top
R2,1k,R_0805_2012Metric,108.5875,-71.5,0.0,top
R3,1k,R_0805_2012Metric,113.9125,-87.5,0.0,top
R4,1.2k,R_0805_2012Metric,114.0,-71.5,0.0,top
R5,1.2k,R_0805_2012Metric,113.6625,-77.5,0.0,top
R6,3k,R_0805_2012Metric,113.75,-82.5,0.0,top
R7,3k,R_0805_2012Metric,114.0875,-93.0,0.0,top
S1,MS-22D28-G020,MS22D28G020,127.5,-67.5,0.0,top
U1,TP4056,ESOP8_UMW,117.0,-65.0,0.0,top
U2,DRV8835DSSR,DSS0012A,108.550002,-78.0,0.0,top
