Comment,Designator,Footprint,LCSC
220n,"C4,C6,C8",C_0402_1005Metric,C16772
56k,"R16,R17,R18",R_0603_1608Metric,C23206
75k,"R3,R5,R8",R_0603_1608Metric,C23242
10,"R12,R4,R9",R_0402_1005Metric,C25077
2.2k,"R1,R10,R6",R_0402_1005Metric,C25879
2N3904,"Q1,Q2,Q3",TO-92_Inline,C2874602
100n,"C1,C2,C3",C_0402_1005Metric,C307331
1.8k,"R11,R2,R7",R_0603_1608Metric,C4177
TSAL4400,"D1,D2,D3",LED_D3.0mm_IRBlack,C94135
PD333-3B/H0/L2,"LED1,LED2,LED3",LED_PD333_EVE,C95399
Conn_02x14_Odd_Even,J1,PinHeader_2x14_P2.54mm_Vertical,
